name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,challengeLost,totalContest,blockedScoringAttempt,keyPass,aerialWon,duelWon,totalClearance,totalTackle,fouls,wonContest,outfielderBlock,shotOffTarget,interceptionWon,onTargetScoringAttempt,goals,wasFouled,dispossessed,penaltyWon,captain,team,teamType,punches,totalOffside,bigChanceMissed,penaltyConceded
Diego Martínez,diego-martinez,D. Martínez,G,1,180.0,7,819196,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,628300800,"{'value': 210000, 'currency': 'EUR'}",,,1,False,13.0,9.0,6.0,2.0,0.0,2.0,2.0,90.0,17.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,True,Deportivo Pasto,home,,,,
Israel Alba,israel-alba,I. Alba,D,22,175.0,19,822106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,799718400,"{'value': 430000, 'currency': 'EUR'}",,,22,False,35.0,22.0,3.0,1.0,0.0,,,90.0,59.0,6.6,22.0,"{'original': 6.6, 'alternative': None}",11.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,,
Luis Caicedo,luis-caicedo,L. Caicedo,D,4,185.0,54,339963,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,705542400,"{'value': 215000, 'currency': 'EUR'}",,,4,False,59.0,48.0,11.0,5.0,0.0,,,90.0,70.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",,,1.0,2.0,,,,,2.0,5.0,3.0,3.0,1.0,,,,,,,,,,,Deportivo Pasto,home,,,,
Andrés Alarcón,andres-alarcon,A. Alarcón,D,24,192.0,43,1179168,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990230400,,Andrés Alarcón,,24,False,64.0,56.0,11.0,8.0,0.0,,,90.0,73.0,7.0,8.0,"{'original': 7, 'alternative': None}",,,1.0,3.0,1.0,1.0,,,5.0,6.0,6.0,,1.0,1.0,1.0,,,,,,,,,Deportivo Pasto,home,,,,
Joyce Ossa,joyce-ossa,J. Ossa,D,23,184.0,17,1417831,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895104000,"{'value': 280000, 'currency': 'EUR'}",Joyce Ossa,,23,False,48.0,37.0,7.0,1.0,0.0,,,90.0,60.0,6.8,13.0,"{'original': 6.8, 'alternative': None}",,,,,,,,,3.0,5.0,,2.0,,,,1.0,2.0,,,,,,,Deportivo Pasto,home,,,,
Mauricio Castaño,mauricio-castano,M. Castaño,D,20,177.0,13,1098313,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600,"{'value': 105000, 'currency': 'EUR'}",Mauricio Castaño,,20,False,27.0,21.0,2.0,1.0,0.0,,,90.0,48.0,7.3,9.0,"{'original': 7.3, 'alternative': None}",5.0,2.0,,3.0,2.0,,,,1.0,1.0,1.0,,1.0,,,,2.0,1.0,1.0,,,,,Deportivo Pasto,home,,,,
Facundo Boné,facundo-bone,F. Boné,M,77,176.0,84,924738,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,816480000,"{'value': 280000, 'currency': 'EUR'}",,,77,False,18.0,13.0,2.0,1.0,0.0,,,80.0,40.0,6.6,16.0,"{'original': 6.6, 'alternative': None}",4.0,1.0,2.0,7.0,,5.0,,,1.0,6.0,,2.0,,,,1.0,,,,4.0,,,,Deportivo Pasto,home,,,,
Felipe Jaramillo,felipe-jaramillo,F. Jaramillo,M,17,185.0,31,924429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829785600,"{'value': 310000, 'currency': 'EUR'}",,,17,False,59.0,55.0,12.0,9.0,0.0,,,90.0,71.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",1.0,,,2.0,,1.0,,1.0,,5.0,,1.0,1.0,,,1.0,1.0,,,4.0,,,,Deportivo Pasto,home,,,,
Johan Caicedo,johan-caicedo,J. Caicedo,M,6,,53,1170681,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079049600,"{'value': 455000, 'currency': 'EUR'}",Johan Caicedo,,6,False,26.0,22.0,2.0,1.0,0.0,,,77.0,32.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,1.0,7.0,1.0,,,,1.0,3.0,,1.0,4.0,,,1.0,,1.0,,1.0,1.0,,,Deportivo Pasto,home,,,,
Gustavo Torres,gustavo-torres,G. Torres,M,9,181.0,94,886720,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,834796800,"{'value': 320000, 'currency': 'EUR'}",,,9,False,14.0,11.0,1.0,1.0,1.0,,,65.0,25.0,7.3,9.0,"{'original': 7.3, 'alternative': None}",2.0,,1.0,3.0,,1.0,,2.0,3.0,7.0,,1.0,1.0,,,,,,,3.0,,,,Deportivo Pasto,home,,,,
